Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Deassertions_Enabled,Time_elapsed
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,81.39330
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,81.59291
CPU1 Power,215.1,Unknown,23,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,81.79762
CPU2 Power,215.2,Unknown,15,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,82.01324
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,82.23333
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,82.47317
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,82.69332
CPU1 Power,215.1,Unknown,23,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,82.94501
CPU2 Power,215.2,Unknown,15,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,83.24509
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,83.62133
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,83.91382
Total Power,215.0,Unknown,385,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,84.20593
CPU1 Power,215.1,Unknown,94,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,84.46088
CPU2 Power,215.2,Unknown,99,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,84.74544
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,85.00509
PCIE CPU2 Pwr,215.4,Unknown,26,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,85.26211
Total Power,215.0,Unknown,385,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,85.48965
CPU1 Power,215.1,Unknown,94,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,85.73715
CPU2 Power,215.2,Unknown,99,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,86.00892
